employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Associate,,19 May 2022 ,Excellent,"Everything. Culture, benefits, people, growth.
","None that i can think of. High performing individuals fit right in.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Financial Analyst,Singapore,15 May 2022 ,Great company,"Culture promotes diversity and inclusion. Respect everyone's point of view.
","Not really any major cons.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Programmer,,11 May 2022 ,Good,"Very Good, Good, Good, Good
","Salary not high enough tho
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Operations,"Yishun New Town,",8 May 2022 ,z,"i had a good experience
","employee very friendly and nice
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,17 May 2022 ,Great place,"lots of benefits, great culture
","nil, i love google so much
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Recruiter,"Chicago, IL",16 May 2022 ,Not great,"Benefits good - food and general benefits
","Messy and manager was not good
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Associate,,14 May 2022 ,Senior Associate in Google with high qualifications,"Enjoy the perks of being an employee at Google
","Work overtime and late hours
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Accont Manager,Singapore,30 Apr 2022 ,GOOD CULTURE,"Benefit & Conpensation is good
","Work & Life balance is hard to achieve
Advice to Management
Less political and more open
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Enginneering,,13 May 2022 ,Good,"Good welfare and office facilities
Good compensation
","Limited career growth 
Not applicable
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Account Manager,,26 Apr 2022 ,Great working environment,"Fun to work with anyone.
","Too much info. Need to pick and choose.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,9 May 2022 ,N/A,"Takes care of employee. Upholds culture and motivates employee to think and work harder.
","Not applicable Not applicable Not applicable
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,21 Apr 2022 ,Great company,"Everything others say are true
","None so far for me
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Global Consultant,,5 May 2022 ,Great place to work,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
- Flexibility in how you do your work
- No micro management
- Get to work with smart, talented and driven folks from around the world
Cons
- Takes time to progress
- Compensation not as competitive as it used to be
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Director,Singapore,16 Apr 2022 ,NA,"Great life work balance. Good environment
","Growth option are more limited
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,10 Apr 2022 ,Company Review,"Company policies are excellent, they really care for their employee wellness.
","Ground level management should take responsibility to keep the culture as how the company core values intended.
1 person found this review helpful
Helpful
Share
Repor",5.0
 Administrative,,12 Apr 2022 ,Good,"Good company to work at.
","None, google is a great company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Principal Product Manager,Singapore,12 Apr 2022 ,Amazin,"Great work culture, great mentor, great business,
","Nothing bad to say about google, except we are tracking you down.
Advice to Management
Will need a more philosophical approach in presentations
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Strategy & Operations Associate,,10 Apr 2022 ,Great place to work,"Great company despite what you hear outside. good work life balance overall. Working with very smart people
","consensus driven approach to decision making can be frustrating
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Technical Support,Singapore,10 Apr 2022 ,Good company,"Work life balance in the company
","Nothing to be cons, maybe
Advice to Management
Keep up the good work
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Temp to Perm,Singapore,9 Apr 2022 ,good,"good good good good good
","none that i can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,22 Apr 2022 ,Good job,"work life balance，nice leader and other engineers.
","There may be some office politics sometimes.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
