employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Frontend Engineer,Singapore,12 May 2022 ,Good welfare,"Good welfare and culture. I like it!
","Communication with mainland China is required.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,Singapore,19 May 2022 ,Good place and good people to work with,"flexible, remote-able, challenging, friendly. Good place and good people to work with
","no work balance. too many Chinese. no English env.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,5 May 2022 ,Your lack of planning is not my crisis,"Good compensation.
Good welfare.
Good exposure.
Most people are obsessed with work.
Push you to your limits.
Improve your chinese proficiency.
","Minimum planning, maximum firefighting.
Project communications are not through email, messenger alerts every 10 seconds, impossible to focus.
I want this and I want it now.
Messy internal tools.
Chinese counterparts don't respect your time and assume you work their hours.
Advice to Management
Singapore is not China.
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Manager,,27 Apr 2022 ,Toss you away like garbage,"Good benefits (comparing to their Chinese counterparts)
","CFO said there won’t be layoffs during industry downtime at year end sharing and laid off tons and tons of people the second quarter is the next year. Group leaders are mostly narcissistic. Disorganized. Promote senior management who treated employees like robots.
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Artist,,8 Apr 2022 ,tencent is the dream from my younger age,"Resource , tech support, good income, have it's own system for everything
","Need to be more international.
1 person found this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,20 Apr 2022 ,Good company except for mainly eastern cultures,"Good wellfare for employees.
Chance to work on different and have exposure to many different technology.
","- China 996 culture.
- Chinese tech companies management are more focused on overall group conformity then individual career growth and progression.
- Also if you are not chinese speaking, you will generally lose out due to the main counterparts are in china. 
- Tencent is attempting to branch out globally , however their culture which mainly stem from the china 996 culture will be a big shock to people who are mainly westernized.
Advice to Management
Don't lift and shift whatever management style that worked in China to the global market. Adapt it to the global market or you will just be making 1 step forward 2 steps back in progress.
1 person found this review helpful
Helpful
Share
Repor",4.0
 Corporate Functions,Singapore,1 Apr 2022 ,Balanced View,"1) This may be surprising but I'm having adequate WLB - Bosses are flexible, colleagues are supportive - End of the day, it's an output driven company - Work smart and deliver results, you can plan how your schedule goes.

2) Culture is great, there are team bonding budgets for team planned activities, social activity clubs for people to participate outside of work (running club / badminton club etc)

3) It's always about looking to be better, faster and of higher quality - The company is relentless in its pursuit of excellence which is why they have grown to what they are today

4) I was blessed with great team managers, through them I felt empowered and they had often pushed me to do better - Again, this is all in the mindset, do you perceive feedback as constructive or criticism?

5) Compensation is competitive but when is money ever enough?
","1) Systems are not the best, unintuitive and often fragmented - You will need to be versatile in finding alternative ways to track your own work processes and deliverables

2) Ambiguity is really for breakfast, lunch and dinner - If you enjoy solving problems as they come and not having a dull day, this will be great

3) Structure is more business group driven as opposed to a regional format, might take some adjusting of mindsets to get used to the matrixed environment

4) Market share in some business groups may not be great but that presents opportunities to make things happen

5) Pros mentioned above might vary from team to team, it still largely depends on the team's leadership and style - so please do your own due diligence during the interview process
Advice to Management
Generally, it was a positive experience for me and I've enjoyed myself working in Tencent. I had a very different perspective (positive one) from what you hear in the market about China HQ Tech companies. They are trying to do good and I hope they continue on the momentum.

Perhaps in order for work to be even more efficient, my recommendation is to move into a regional model with an overarching GM managing across business groups rather than siloed business groups - With that being said, there are complexities which may not be visible to me so I may not always know best.
1 person found this review helpful
Helpful
Share
Repor",5.0
 Network Strategy Manager,,18 Apr 2022 ,Definitely a BEST place to work for!,"Some may say this is a Chinese culture. Personally, I think Tencent Singapore is pretty international. We use a lot of English in our workplace esp in Singapore. Staffs are very friendly. Work Life Balance! One of the best companies that offers a lot of Benefits other companies I worked for doesn't!
","Tencent Singapore is still like a newbie in Singapore. There are some processes which are not integrated to the HQ yet. So it can be a little cumbersome at times.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,25 Mar 2022 ,quite decent workplace,"company values are overall quite good；
colleagues overall are young, nice and energetic people；
","still new to its internationalization；
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Manager,Singapore,23 Mar 2022 ,Only join if you’re comfortable with Chinese,"Great benefits and exposure to problems at scale
","Super Chinese culture, if you’re Chinese is not strong please stay away
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Researcher,Singapore,21 Mar 2022 ,Good working environment and nice colleagues.,"Everyone has good qualification and is smart there and I feel I can learn from them everyday.
","The software infrastructure of the overseas offices is not easy to use, compared to AWS or azure.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Data Analyst,,17 Feb 2022 ,Great culture,"Great culture, autonomy over owns work
","Need to be able to converse in mandarin
1 person found this review helpful
Helpful
Share
Repor",5.0
 Software Test Engineer,Singapore,3 Mar 2022 ,Not perfect,"powerful company, good welfare, nice pay
","bad and tense relationships between co-wokers, terrible code
1 person found this review helpful
Helpful
Share
Repor",3.0
